epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1048.04,0.29164,0.38421,0.19618,0.84327,0,0.99948,0.97458,0.975,0.96268,0.99948,0.97458,0.975,0.96627,0.18824,0.27043,0.1326,0.79632,0,0.0008912,0.0008912,0.0008912
30,1083.45,0.2825,0.39531,0.19458,0.83751,0,0.99841,0.97034,0.975,0.96577,0.99969,0.97458,0.975,0.96327,0.17718,0.2756,0.133,0.79391,0,0.0008516,0.0008516,0.0008516
31,1118.17,0.28572,0.40039,0.19752,0.84618,0,0.99974,0.97458,0.975,0.96664,0.99974,0.97458,0.975,0.96526,0.16621,0.27122,0.1236,0.79403,0,0.000812,0.000812,0.000812
32,1153.78,0.28638,0.385,0.19654,0.84393,0,0.99969,0.97458,0.975,0.9661,0.99969,0.97458,0.975,0.96474,0.17201,0.25879,0.11622,0.78948,0,0.0007724,0.0007724,0.0007724
33,1188.54,0.28682,0.39659,0.19319,0.84725,0,0.99091,0.97458,0.97491,0.9655,0.99091,0.97458,0.97491,0.96957,0.16078,0.24988,0.12677,0.79198,0,0.0007328,0.0007328,0.0007328
34,1223.77,0.27732,0.36745,0.1857,0.84372,0,0.99984,0.97458,0.975,0.96629,0.99984,0.97458,0.975,0.96402,0.17548,0.24127,0.11623,0.8005,0,0.0006932,0.0006932,0.0006932
35,1258.4,0.27674,0.3865,0.18618,0.84213,0,0.99976,0.97458,0.975,0.96973,0.99976,0.97458,0.975,0.96941,0.16119,0.24208,0.11117,0.79251,0,0.0006536,0.0006536,0.0006536
36,1293.44,0.27753,0.37571,0.18498,0.84163,0,0.99963,0.97458,0.975,0.96529,0.99963,0.97458,0.975,0.96693,0.17268,0.23911,0.1211,0.79427,0,0.000614,0.000614,0.000614
37,1328.29,0.27006,0.36597,0.18139,0.83439,0,1,0.97457,0.975,0.9684,1,0.97457,0.975,0.96818,0.16149,0.23141,0.12727,0.79257,0,0.0005744,0.0005744,0.0005744
38,1363.26,0.27141,0.36546,0.18039,0.84122,0,0.99972,0.97458,0.975,0.96442,0.99972,0.97458,0.975,0.96599,0.17147,0.23176,0.1142,0.79852,0,0.0005348,0.0005348,0.0005348
